Chicken-pox,acyclovir_loratadine_tecovirimat
Common-cold,acrivastine_aspirin_codeine_benzonatate
Conjunctivitis,carbenicillin_gatifloxacin_homatropine
Hepatitis-A,adefovir-dipivoxil_Hepatitis-A-vaccine
Hepatitis-B,adefovir-dipivoxil_entecavir_indinavir_thymalfasin
Influenza(flu),Rapivab_Relenza_Tamiflu_Xofluza
Pneumonia,Advil_Motrin-IB
Bird-Flu,Tamiflu_Relenza_Rapivab_Xofluza
Measles,Tylenol_Advil
Meningitis,Vancomycin_plus_cefotaxime_or_ceftriaxone
Monkeypox,ACAM2000-vaccine
Mumps,Tylenol_Advil
Rubella,Tylenol_Advil
Tuberculosis,Isoniazid_Rifampin_Ethambutol_Pyrazinamide
Hypertension,Diuretics_Beta-blockers_ACE-inhibitors_Calcium-channel-blockers
Diabetes,Insulin_Metformin_Sulfonylureas_DPP-4-inhibitors
Asthma,Inhaled_corticosteroids_Long-acting_beta-agonists_Leukotriene_modifiers_Mast_cell_stabilizers
Chronic-bronchitis,Bronchodilators_Inhaled_corticosteroids_Theophylline_Phosphodiesterase-4_inhibitors
Emphysema,Bronchodilators_Inhaled_corticosteroids_Theophylline_Phosphodiesterase-4_inhibitors
COPD,Bronchodilators_Inhaled_corticosteroids_Theophylline_Phosphodiesterase-4_inhibitors
Pneumothorax,Observation_Chest_tube_Insertion_VATS_surgery_Pleurodesis
Pleural-effusion,Thoracentesis_Chest_tube_Insertion_Pleurodesis_Thoracoscopy
Pulmonary-edema,Oxygen_diuretics_nitrates_morphine_Oxygen_diuretics_Nitrates_Morphine
ARDS,Low-tidal-volume_ventilation_Proning_ECMO_Low-tidal-volume_ventilation_Proning_ECMO
Lung-abscess,antibiotics_antifungals_drainage_surgery_Antibiotics_Antifungals_Drainage_Surgery
Throat-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Esophageal-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Gastric-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Pancreatic-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Liver-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Colorectal-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Rectal-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
Anal-cancer,Surgery_Radiation_chemotherapy_Targeted_therapy_Surgery_Radiation_Chemotherapy_Targeted_therapy
